Server,HTTPS
40.67.252.70:8080,yes
143.244.133.78:80,no
118.36.19.164:8080,no
133.18.203.28:8080,no
116.193.175.48:8080,no
194.44.15.222:8081,no
103.71.21.185:83,no
198.59.191.234:8080,yes
213.222.34.200:53281,no
103.148.178.228:80,no
8.219.97.248:80,yes
41.59.90.92:80,no
150.109.32.166:80,no
193.242.178.90:44551,no
200.125.171.200:9991,no
69.75.140.157:8080,no
66.29.154.103:3128,no
186.208.81.214:3129,no
169.57.1.85:8123,no
66.29.154.105:3128,no
185.61.152.137:8080,no
43.255.113.232:8082,no
200.89.174.158:8080,no
95.59.26.129:80,no
103.149.162.195:80,no
139.99.237.62:80,no
184.191.162.4:3128,no
80.48.119.28:8080,no
87.255.207.42:3128,no
49.207.36.81:80,no
20.110.214.83:80,no
165.154.227.34:80,no
8.214.4.72:33080,yes
5.58.110.249:8080,yes
3.144.188.184:8080,no
118.172.187.127:8080,yes
133.18.203.171:8080,yes
216.176.187.99:8886,no
173.82.149.243:8080,no
37.120.192.154:8080,no
47.74.152.29:8888,no
8.208.82.80:8081,no
129.226.41.41:8080,no
103.161.122.204:30211,yes
198.27.74.6:9300,no
216.137.184.253:80,no
23.236.109.50:80,no
41.39.244.130:32604,no
79.122.202.21:8080,yes
185.104.252.10:9090,yes
47.252.4.64:8888,yes
47.89.185.178:8888,yes
125.228.27.210:9797,yes
190.97.225.37:999,yes
105.112.191.250:3128,yes
159.65.133.175:31280,yes
190.94.199.14:999,yes
89.208.219.121:8080,yes
61.7.146.7:8082,yes
181.78.64.39:999,yes
183.89.65.142:8080,yes
187.102.236.209:999,yes
77.236.252.187:1256,yes
95.0.219.234:8080,yes
5.188.136.52:8080,yes
180.94.69.66:8080,yes
181.204.109.218:8080,yes
76.80.19.107:8080,yes
95.0.7.14:8080,yes
197.211.35.195:8080,yes
203.150.128.46:8080,yes
208.52.137.179:5555,yes
88.255.101.228:8080,yes
103.143.209.242:8090,yes
201.71.2.41:999,yes
191.97.16.111:999,yes
45.174.92.253:999,yes
161.132.125.244:8080,yes
181.115.67.3:999,yes
170.83.242.250:999,yes
200.32.80.50:999,yes
45.189.253.129:999,yes
12.144.254.185:9080,yes
181.143.235.100:12345,yes
190.103.28.163:3128,yes
139.59.228.95:8118,yes
133.18.233.207:8080,yes
190.131.250.105:999,yes
130.41.47.235:8080,yes
45.64.122.210:47552,yes
217.160.192.11:8081,yes
130.41.15.76:8080,yes
130.41.41.175:8080,yes
130.41.65.206:8080,yes
181.129.98.146:8080,yes
213.14.174.70:3128,yes
